investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Wells Fargo,Decline,900,90,2,Market,2,51,6.6,Bookrunner,Participant,Demoted,0.12941176470588234,0.1
Deutsche Bank,Commit,1400,210,4,Market,0,58,11.1,Bookrunner,Bookrunner,None,0.19137931034482758,0.15
MUFG Union,Commit,1400,210,9,Market,0,147,36.2,Bookrunner,Bookrunner,None,0.24625850340136057,0.15
MUFG Union,Commit,1100,180,4,Market,1,94,0.5,Bookrunner,Bookrunner,None,0.005319148936170213,0.16363636363636364
Deutsche Bank,Commit,1300,260,4,Market,1,135,2.3,Participant,Bookrunner,Promoted,0.017037037037037035,0.2
Wells Fargo,Commit,400,70,1,Market,2,35,7.8,Bookrunner,Bookrunner,None,0.22285714285714286,0.175
Wells Fargo,Commit,1100,160,2,Above,2,101,12.7,Bookrunner,Bookrunner,None,0.12574257425742574,0.14545454545454545
Goldman Sachs,Commit,800,180,2,Market,2,97,19.3,Participant,Bookrunner,Promoted,0.19896907216494847,0.225
MUFG Union,Commit,700,170,1,Below,2,64,11.7,Bookrunner,Bookrunner,None,0.1828125,0.24285714285714285
Bank of America,Commit,600,50,2,Above,2,31,1.8,Participant,Participant,None,0.05806451612903226,0.08333333333333333
Goldman Sachs,Commit,500,90,3,Above,2,48,5.9,Participant,Bookrunner,Promoted,0.12291666666666667,0.18
Bank of America,Commit,800,130,4,Market,1,70,20.3,Bookrunner,Bookrunner,None,0.29000000000000004,0.1625
Goldman Sachs,Commit,1500,210,8,Market,0,128,0.0,Participant,Bookrunner,Promoted,0.0,0.14
Wells Fargo,Commit,1700,260,8,Market,0,176,24.5,Bookrunner,Bookrunner,None,0.13920454545454544,0.15294117647058825
Wells Fargo,Commit,1300,280,8,Market,0,54,17.0,Bookrunner,Bookrunner,None,0.3148148148148148,0.2153846153846154
MUFG Union,Commit,700,40,1,Market,2,41,4.8,Participant,Participant,None,0.11707317073170731,0.05714285714285714
Deutsche Bank,Commit,900,170,1,Market,2,132,13.9,Bookrunner,Bookrunner,None,0.1053030303030303,0.18888888888888888
MUFG Union,Commit,900,160,2,Market,2,80,14.2,Bookrunner,Bookrunner,None,0.1775,0.17777777777777778
Wells Fargo,Commit,800,150,2,Market,1,34,9.0,Bookrunner,Bookrunner,None,0.2647058823529412,0.1875
Wells Fargo,Commit,900,120,2,Market,2,80,7.4,Bookrunner,Bookrunner,None,0.0925,0.13333333333333333
Deutsche Bank,Commit,1000,160,8,Market,0,64,0.0,Participant,Bookrunner,Promoted,0.0,0.16
Wells Fargo,Commit,400,70,2,Market,2,44,4.9,Bookrunner,Bookrunner,None,0.11136363636363637,0.175
Goldman Sachs,Commit,1300,210,5,Market,1,145,24.2,Bookrunner,Bookrunner,None,0.16689655172413792,0.16153846153846155
Goldman Sachs,Commit,1500,240,7,Market,1,230,22.8,Bookrunner,Bookrunner,None,0.0991304347826087,0.16
Goldman Sachs,Commit,900,190,2,Above,2,95,33.1,Bookrunner,Bookrunner,None,0.34842105263157896,0.2111111111111111
Deutsche Bank,Commit,1300,220,2,Market,3,203,52.0,Bookrunner,Bookrunner,None,0.2561576354679803,0.16923076923076924
Wells Fargo,Commit,1100,220,7,Market,1,195,27.1,Bookrunner,Bookrunner,None,0.13897435897435897,0.2
Goldman Sachs,Commit,600,80,3,Market,1,28,7.2,Bookrunner,Bookrunner,None,0.2571428571428572,0.13333333333333333
Deutsche Bank,Commit,1200,210,1,Market,2,138,30.5,Bookrunner,Bookrunner,None,0.2210144927536232,0.175
MUFG Union,Commit,1200,190,5,Market,0,49,4.4,Bookrunner,Bookrunner,None,0.08979591836734695,0.15833333333333333
Deutsche Bank,Commit,1200,160,3,Market,2,161,40.6,Bookrunner,Bookrunner,None,0.25217391304347825,0.13333333333333333
MUFG Union,Commit,1100,180,9,Market,1,166,46.3,Bookrunner,Bookrunner,None,0.2789156626506024,0.16363636363636364
Bank of America,Commit,400,60,1,Below,2,53,3.1,Participant,Bookrunner,Promoted,0.05849056603773585,0.15
Goldman Sachs,Commit,1100,190,9,Above,0,100,14.3,Participant,Bookrunner,Promoted,0.14300000000000002,0.17272727272727273
Deutsche Bank,Commit,700,100,1,Market,2,85,16.8,Bookrunner,Bookrunner,None,0.19764705882352943,0.14285714285714285
MUFG Union,Commit,900,150,1,Market,2,132,32.3,Bookrunner,Bookrunner,None,0.24469696969696966,0.16666666666666666
Goldman Sachs,Commit,1200,200,9,Market,0,172,13.6,Bookrunner,Bookrunner,None,0.07906976744186046,0.16666666666666666
Bank of America,Commit,1700,310,9,Market,0,150,14.9,Bookrunner,Bookrunner,None,0.09933333333333333,0.18235294117647058
Goldman Sachs,Commit,800,160,1,Above,2,87,5.6,Bookrunner,Bookrunner,None,0.06436781609195402,0.2
Wells Fargo,Commit,1300,240,2,Market,2,155,47.6,Bookrunner,Bookrunner,None,0.3070967741935484,0.18461538461538463
Deutsche Bank,Commit,1300,170,9,Market,0,139,22.1,Bookrunner,Bookrunner,None,0.1589928057553957,0.13076923076923078
Deutsche Bank,Decline,1300,210,8,Market,0,121,6.9,Bookrunner,Bookrunner,None,0.05702479338842976,0.16153846153846155
Bank of America,Commit,1300,250,7,Market,1,242,16.0,Bookrunner,Bookrunner,None,0.06611570247933884,0.19230769230769232
Deutsche Bank,Commit,2100,420,2,Market,2,139,35.4,Bookrunner,Bookrunner,None,0.25467625899280577,0.2
Wells Fargo,Decline,1200,110,3,Below,2,133,22.1,Bookrunner,Participant,Demoted,0.1661654135338346,0.09166666666666666
Bank of America,Commit,700,90,2,Market,2,97,3.3,Bookrunner,Bookrunner,None,0.03402061855670103,0.12857142857142856
Goldman Sachs,Commit,1500,220,6,Market,1,162,33.7,Bookrunner,Bookrunner,None,0.2080246913580247,0.14666666666666667
Goldman Sachs,Commit,1000,150,1,Market,2,100,29.4,Bookrunner,Bookrunner,None,0.294,0.15
Bank of America,Commit,1700,270,9,Market,0,161,16.3,Participant,Bookrunner,Promoted,0.10124223602484472,0.1588235294117647
MUFG Union,Commit,1800,390,2,Market,2,143,42.0,Bookrunner,Bookrunner,None,0.2937062937062937,0.21666666666666667
Deutsche Bank,Commit,700,110,2,Below,1,33,8.0,Participant,Bookrunner,Promoted,0.24242424242424243,0.15714285714285714
Deutsche Bank,Commit,900,170,3,Above,2,221,0.0,Participant,Bookrunner,Promoted,0.0,0.18888888888888888
MUFG Union,Commit,900,60,4,Market,1,211,33.5,Bookrunner,Participant,Demoted,0.15876777251184834,0.06666666666666667
Bank of America,Commit,1200,190,8,Market,0,51,6.8,Bookrunner,Bookrunner,None,0.13333333333333333,0.15833333333333333
MUFG Union,Commit,1200,180,4,Market,0,51,0.0,Participant,Bookrunner,Promoted,0.0,0.15
Wells Fargo,Commit,900,90,2,Market,1,45,9.7,Bookrunner,Participant,Demoted,0.21555555555555553,0.1
MUFG Union,Commit,600,120,1,Market,2,67,12.2,Participant,Bookrunner,Promoted,0.18208955223880596,0.2
MUFG Union,Commit,1200,180,3,Market,2,117,0.2,Bookrunner,Bookrunner,None,0.0017094017094017094,0.15
Deutsche Bank,Decline,200,40,3,Market,2,24,1.0,Bookrunner,Bookrunner,None,0.041666666666666664,0.2
MUFG Union,Commit,400,50,2,Market,2,37,5.1,Participant,Bookrunner,Promoted,0.13783783783783782,0.125
Deutsche Bank,Commit,600,70,3,Above,1,28,1.7,Participant,Bookrunner,Promoted,0.060714285714285714,0.11666666666666667
Goldman Sachs,Commit,1000,180,5,Market,1,121,20.7,Bookrunner,Bookrunner,None,0.17107438016528925,0.18
Deutsche Bank,Commit,1100,130,7,Market,0,65,10.6,Bookrunner,Bookrunner,None,0.16307692307692306,0.11818181818181818
Bank of America,Commit,1500,180,9,Market,1,237,47.6,Bookrunner,Bookrunner,None,0.2008438818565401,0.12
Bank of America,Commit,1100,210,7,Market,0,85,2.0,Bookrunner,Bookrunner,None,0.023529411764705882,0.19090909090909092
Bank of America,Decline,400,50,2,Below,2,33,1.5,Bookrunner,Bookrunner,None,0.045454545454545456,0.125
Wells Fargo,Commit,1000,160,7,Market,0,144,17.9,Bookrunner,Bookrunner,None,0.12430555555555554,0.16
MUFG Union,Commit,1800,330,1,Market,1,65,15.7,Bookrunner,Bookrunner,None,0.24153846153846154,0.18333333333333332
MUFG Union,Commit,1800,240,3,Market,2,130,25.6,Bookrunner,Bookrunner,None,0.19692307692307692,0.13333333333333333
Deutsche Bank,Decline,1200,130,10,Market,0,49,9.1,Bookrunner,Participant,Demoted,0.18571428571428572,0.10833333333333334
Bank of America,Commit,500,120,1,Above,2,67,20.5,Bookrunner,Bookrunner,None,0.30597014925373134,0.24
Goldman Sachs,Decline,1200,210,4,Market,1,97,0.1,Bookrunner,Bookrunner,None,0.0010309278350515464,0.175
Bank of America,Decline,700,50,2,Market,2,54,3.9,Bookrunner,Participant,Demoted,0.07222222222222222,0.07142857142857142
Bank of America,Commit,1200,220,9,Market,0,98,28.7,Bookrunner,Bookrunner,None,0.29285714285714287,0.18333333333333332
MUFG Union,Commit,1500,220,10,Market,0,127,20.8,Bookrunner,Bookrunner,None,0.16377952755905512,0.14666666666666667
Goldman Sachs,Commit,1000,180,5,Market,1,121,42.5,Bookrunner,Bookrunner,None,0.3512396694214876,0.18
Wells Fargo,Commit,900,120,1,Market,2,101,3.8,Participant,Bookrunner,Promoted,0.03762376237623762,0.13333333333333333
MUFG Union,Commit,1300,220,4,Market,1,111,7.8,Bookrunner,Bookrunner,None,0.07027027027027027,0.16923076923076924
Deutsche Bank,Decline,900,90,2,Market,1,27,6.5,Bookrunner,Participant,Demoted,0.24074074074074073,0.1
Goldman Sachs,Commit,400,90,1,Market,2,57,12.1,Participant,Bookrunner,Promoted,0.21228070175438596,0.225
Wells Fargo,Commit,600,60,2,Above,2,72,7.8,Participant,Participant,None,0.10833333333333334,0.1
MUFG Union,Commit,1100,200,6,Market,0,52,15.3,Bookrunner,Bookrunner,None,0.29423076923076924,0.18181818181818182
Wells Fargo,Commit,700,160,2,Above,2,68,14.8,Bookrunner,Bookrunner,None,0.21764705882352942,0.22857142857142856
Bank of America,Decline,800,60,2,Market,2,92,5.2,Bookrunner,Participant,Demoted,0.05652173913043478,0.075
Deutsche Bank,Decline,900,60,2,Market,2,60,5.2,Bookrunner,Participant,Demoted,0.08666666666666667,0.06666666666666667
MUFG Union,Commit,1200,140,10,Market,0,97,9.2,Participant,Participant,None,0.09484536082474226,0.11666666666666667
MUFG Union,Commit,300,60,2,Below,2,33,13.3,Bookrunner,Bookrunner,None,0.40303030303030307,0.2
Bank of America,Decline,1000,110,6,Market,1,75,4.3,Bookrunner,Participant,Demoted,0.05733333333333333,0.11
Deutsche Bank,Commit,600,120,4,Market,0,52,11.2,Bookrunner,Bookrunner,None,0.21538461538461537,0.2
Bank of America,Commit,300,40,3,Above,2,32,3.3,Participant,Bookrunner,Promoted,0.103125,0.13333333333333333
Deutsche Bank,Commit,1200,190,3,Market,2,101,23.0,Bookrunner,Bookrunner,None,0.22772277227722773,0.15833333333333333
Wells Fargo,Commit,600,80,2,Market,2,83,13.9,Bookrunner,Bookrunner,None,0.1674698795180723,0.13333333333333333
Wells Fargo,Commit,1000,170,3,Market,1,45,0.7,Bookrunner,Bookrunner,None,0.015555555555555555,0.17
Bank of America,Commit,1000,210,2,Market,2,109,14.5,Bookrunner,Bookrunner,None,0.13302752293577982,0.21
Bank of America,Commit,1300,270,6,Above,1,115,0.0,Participant,Bookrunner,Promoted,0.0,0.2076923076923077
Goldman Sachs,Commit,1200,170,10,Market,0,49,6.1,Participant,Bookrunner,Promoted,0.12448979591836734,0.14166666666666666
Wells Fargo,Commit,1200,210,2,Market,2,139,40.4,Bookrunner,Bookrunner,None,0.2906474820143885,0.175
Deutsche Bank,Commit,800,110,3,Market,2,65,15.5,Bookrunner,Bookrunner,None,0.23846153846153847,0.1375
Bank of America,Commit,800,160,3,Market,2,69,14.4,Bookrunner,Bookrunner,None,0.20869565217391306,0.2
Goldman Sachs,Commit,300,40,1,Market,3,60,13.9,Bookrunner,Bookrunner,None,0.23166666666666666,0.13333333333333333
Bank of America,Commit,1600,220,7,Market,0,112,23.7,Bookrunner,Bookrunner,None,0.21160714285714285,0.1375
Goldman Sachs,Commit,900,180,1,Market,1,44,4.9,Bookrunner,Bookrunner,None,0.11136363636363637,0.2
Wells Fargo,Commit,1500,170,9,Market,0,130,29.9,Bookrunner,Participant,Demoted,0.22999999999999998,0.11333333333333333
Goldman Sachs,Decline,1200,110,5,Market,1,69,14.7,Bookrunner,Participant,Demoted,0.21304347826086956,0.09166666666666666
Bank of America,Commit,500,60,1,Market,2,50,4.4,Participant,Participant,None,0.08800000000000001,0.12
MUFG Union,Commit,1000,200,4,Market,1,146,16.2,Bookrunner,Bookrunner,None,0.11095890410958903,0.2
Bank of America,Commit,1400,210,7,Above,0,130,14.8,Bookrunner,Bookrunner,None,0.11384615384615385,0.15
MUFG Union,Commit,700,100,3,Above,3,105,7.7,Bookrunner,Bookrunner,None,0.07333333333333333,0.14285714285714285
Deutsche Bank,Commit,800,150,1,Market,2,74,19.3,Bookrunner,Bookrunner,None,0.2608108108108108,0.1875
Wells Fargo,Commit,1200,190,9,Market,0,172,20.0,Bookrunner,Bookrunner,None,0.11627906976744186,0.15833333333333333
Bank of America,Decline,1400,160,4,Market,1,80,15.5,Bookrunner,Participant,Demoted,0.19375,0.11428571428571428
Goldman Sachs,Commit,1200,170,2,Market,2,115,4.7,Participant,Bookrunner,Promoted,0.0408695652173913,0.14166666666666666
Bank of America,Commit,1600,170,4,Market,1,104,25.2,Bookrunner,Participant,Demoted,0.2423076923076923,0.10625
Deutsche Bank,Decline,200,30,3,Market,2,28,0.5,Bookrunner,Bookrunner,None,0.017857142857142856,0.15
Goldman Sachs,Decline,600,40,3,Market,2,56,3.8,Bookrunner,Participant,Demoted,0.06785714285714285,0.06666666666666667
Goldman Sachs,Commit,900,140,2,Below,2,99,6.4,Bookrunner,Bookrunner,None,0.06464646464646465,0.15555555555555556
Bank of America,Decline,1400,170,9,Market,0,35,3.2,Bookrunner,Participant,Demoted,0.09142857142857143,0.12142857142857143
MUFG Union,Decline,1000,110,4,Market,1,93,25.1,Bookrunner,Participant,Demoted,0.2698924731182796,0.11
MUFG Union,Commit,300,60,1,Market,3,60,1.1,Bookrunner,Bookrunner,None,0.018333333333333333,0.2
Deutsche Bank,Decline,1200,120,5,Market,1,72,13.9,Bookrunner,Participant,Demoted,0.19305555555555556,0.1
Goldman Sachs,Commit,1100,200,4,Market,1,108,36.0,Bookrunner,Bookrunner,None,0.3333333333333333,0.18181818181818182
Wells Fargo,Commit,2200,390,5,Market,1,186,3.3,Participant,Bookrunner,Promoted,0.017741935483870968,0.17727272727272728
Bank of America,Decline,1500,110,7,Market,0,121,11.9,Bookrunner,Participant,Demoted,0.09834710743801653,0.07333333333333333
MUFG Union,Commit,700,160,2,Market,2,70,24.4,Bookrunner,Bookrunner,None,0.34857142857142853,0.22857142857142856
Wells Fargo,Commit,600,120,4,Below,2,91,31.8,Bookrunner,Bookrunner,None,0.3494505494505495,0.2
MUFG Union,Commit,1800,250,3,Market,2,130,17.0,Bookrunner,Bookrunner,None,0.13076923076923078,0.1388888888888889
Deutsche Bank,Commit,900,120,2,Market,2,112,22.3,Bookrunner,Bookrunner,None,0.19910714285714287,0.13333333333333333
Deutsche Bank,Commit,600,80,1,Market,2,31,5.5,Bookrunner,Bookrunner,None,0.1774193548387097,0.13333333333333333
MUFG Union,Commit,1100,150,3,Market,2,103,2.8,Bookrunner,Bookrunner,None,0.027184466019417475,0.13636363636363635
Bank of America,Commit,1100,200,5,Market,1,70,10.6,Bookrunner,Bookrunner,None,0.1514285714285714,0.18181818181818182
Goldman Sachs,Decline,1000,150,7,Market,0,68,2.9,Bookrunner,Bookrunner,None,0.04264705882352941,0.15
MUFG Union,Decline,900,90,1,Market,2,99,9.9,Bookrunner,Participant,Demoted,0.1,0.1
Goldman Sachs,Decline,900,110,1,Below,2,54,2.8,Bookrunner,Bookrunner,None,0.05185185185185185,0.12222222222222222
Bank of America,Decline,1300,40,1,Below,2,113,12.3,Bookrunner,Participant,Demoted,0.1088495575221239,0.03076923076923077
Goldman Sachs,Commit,1600,230,4,Market,2,301,6.9,Participant,Bookrunner,Promoted,0.02292358803986711,0.14375
Wells Fargo,Commit,600,90,4,Market,1,66,3.5,Bookrunner,Bookrunner,None,0.05303030303030303,0.15
Deutsche Bank,Commit,1300,250,8,Market,0,29,0.3,Participant,Bookrunner,Promoted,0.010344827586206896,0.19230769230769232
Deutsche Bank,Decline,200,50,1,Market,2,29,2.0,Bookrunner,Bookrunner,None,0.06896551724137931,0.25
Deutsche Bank,Decline,600,70,3,Above,1,28,1.2,Bookrunner,Bookrunner,None,0.04285714285714286,0.11666666666666667
Wells Fargo,Commit,900,150,2,Market,2,57,14.5,Bookrunner,Bookrunner,None,0.2543859649122807,0.16666666666666666
Deutsche Bank,Commit,300,50,3,Above,3,54,8.0,Bookrunner,Bookrunner,None,0.14814814814814814,0.16666666666666666
Deutsche Bank,Commit,900,110,1,Market,2,63,8.9,Bookrunner,Bookrunner,None,0.14126984126984127,0.12222222222222222
MUFG Union,Commit,800,120,3,Market,2,108,17.2,Bookrunner,Bookrunner,None,0.15925925925925924,0.15
Wells Fargo,Commit,900,120,2,Market,2,92,22.4,Bookrunner,Bookrunner,None,0.2434782608695652,0.13333333333333333
Deutsche Bank,Commit,900,160,2,Market,2,234,48.0,Bookrunner,Bookrunner,None,0.20512820512820512,0.17777777777777778
Deutsche Bank,Commit,900,180,3,Market,2,49,10.0,Bookrunner,Bookrunner,None,0.20408163265306123,0.2
Goldman Sachs,Commit,700,110,3,Above,2,67,14.7,Bookrunner,Bookrunner,None,0.21940298507462686,0.15714285714285714
MUFG Union,Commit,1000,170,5,Market,1,116,30.6,Bookrunner,Bookrunner,None,0.2637931034482759,0.17
Deutsche Bank,Commit,800,150,1,Market,2,76,17.6,Participant,Bookrunner,Promoted,0.23157894736842108,0.1875
Deutsche Bank,Decline,1200,100,10,Market,0,97,14.9,Bookrunner,Participant,Demoted,0.15360824742268042,0.08333333333333333
Bank of America,Commit,800,140,2,Market,2,89,5.4,Bookrunner,Bookrunner,None,0.06067415730337079,0.175
Goldman Sachs,Decline,1000,100,4,Market,1,51,5.2,Bookrunner,Participant,Demoted,0.10196078431372549,0.1
Deutsche Bank,Commit,700,130,3,Market,2,80,18.1,Participant,Bookrunner,Promoted,0.22625,0.18571428571428572
Bank of America,Commit,1400,310,8,Market,0,350,137.6,Bookrunner,Bookrunner,None,0.3931428571428571,0.22142857142857142
Bank of America,Commit,1100,120,10,Market,1,189,34.6,Bookrunner,Participant,Demoted,0.18306878306878308,0.10909090909090909
Wells Fargo,Commit,1200,170,6,Market,1,141,22.3,Bookrunner,Bookrunner,None,0.15815602836879433,0.14166666666666666
Bank of America,Commit,800,140,3,Market,2,103,29.0,Bookrunner,Bookrunner,None,0.2815533980582524,0.175
Goldman Sachs,Decline,900,100,1,Market,2,117,11.7,Bookrunner,Participant,Demoted,0.09999999999999999,0.1111111111111111
MUFG Union,Commit,1600,270,4,Market,1,159,19.7,Bookrunner,Bookrunner,None,0.12389937106918239,0.16875
MUFG Union,Decline,1100,120,1,Market,2,108,6.3,Bookrunner,Participant,Demoted,0.058333333333333334,0.10909090909090909
MUFG Union,Commit,1200,190,7,Market,0,64,9.2,Bookrunner,Bookrunner,None,0.14375,0.15833333333333333
Deutsche Bank,Decline,500,60,3,Below,2,65,12.4,Bookrunner,Participant,Demoted,0.19076923076923077,0.12
Wells Fargo,Commit,700,120,2,Above,2,38,4.4,Bookrunner,Bookrunner,None,0.11578947368421054,0.17142857142857143
Bank of America,Commit,1100,170,10,Market,0,86,7.8,Bookrunner,Bookrunner,None,0.09069767441860464,0.15454545454545454
MUFG Union,Decline,1200,70,6,Above,1,136,16.5,Bookrunner,Participant,Demoted,0.1213235294117647,0.058333333333333334
MUFG Union,Decline,200,20,4,Market,1,18,1.4,Bookrunner,Participant,Demoted,0.07777777777777778,0.1
Bank of America,Commit,1200,220,2,Market,2,165,33.8,Bookrunner,Bookrunner,None,0.20484848484848484,0.18333333333333332
Goldman Sachs,Decline,1100,120,7,Market,1,195,18.9,Bookrunner,Participant,Demoted,0.09692307692307692,0.10909090909090909
Wells Fargo,Commit,1900,250,6,Market,1,207,21.9,Bookrunner,Bookrunner,None,0.10579710144927536,0.13157894736842105
Wells Fargo,Commit,1100,140,9,Market,0,129,21.7,Bookrunner,Bookrunner,None,0.1682170542635659,0.12727272727272726
Goldman Sachs,Commit,500,70,3,Market,2,55,4.8,Bookrunner,Bookrunner,None,0.08727272727272727,0.14
Wells Fargo,Commit,1100,210,9,Market,0,70,6.3,Bookrunner,Bookrunner,None,0.09,0.19090909090909092
MUFG Union,Commit,900,150,2,Market,1,34,9.6,Bookrunner,Bookrunner,None,0.2823529411764706,0.16666666666666666
Goldman Sachs,Decline,400,70,4,Market,1,53,0.3,Bookrunner,Bookrunner,None,0.005660377358490566,0.175
Bank of America,Decline,500,60,2,Market,2,46,11.2,Bookrunner,Participant,Demoted,0.2434782608695652,0.12
Wells Fargo,Commit,1400,210,1,Market,1,69,16.3,Bookrunner,Bookrunner,None,0.23623188405797102,0.15
Deutsche Bank,Commit,1200,200,5,Market,2,221,59.0,Participant,Bookrunner,Promoted,0.2669683257918552,0.16666666666666666
MUFG Union,Decline,700,60,2,Market,1,35,2.0,Bookrunner,Participant,Demoted,0.05714285714285714,0.08571428571428572
Deutsche Bank,Decline,1500,170,6,Market,1,162,24.3,Bookrunner,Participant,Demoted,0.15,0.11333333333333333
Wells Fargo,Commit,1400,210,5,Market,2,231,4.4,Bookrunner,Bookrunner,None,0.01904761904761905,0.15
Goldman Sachs,Commit,1000,190,4,Below,1,91,32.9,Bookrunner,Bookrunner,None,0.36153846153846153,0.19
Wells Fargo,Commit,1600,120,9,Market,0,235,46.5,Bookrunner,Participant,Demoted,0.19787234042553192,0.075
Bank of America,Decline,400,40,2,Market,2,46,2.7,Bookrunner,Participant,Demoted,0.058695652173913045,0.1
MUFG Union,Commit,300,40,3,Market,2,19,3.8,Bookrunner,Bookrunner,None,0.19999999999999998,0.13333333333333333
Deutsche Bank,Decline,600,70,2,Above,2,72,19.0,Bookrunner,Participant,Demoted,0.2638888888888889,0.11666666666666667
Bank of America,Commit,1500,300,3,Market,2,147,33.1,Participant,Bookrunner,Promoted,0.2251700680272109,0.2
Bank of America,Commit,900,160,1,Market,2,99,14.2,Participant,Bookrunner,Promoted,0.14343434343434341,0.17777777777777778
Deutsche Bank,Commit,900,220,1,Market,2,125,0.0,Participant,Bookrunner,Promoted,0.0,0.24444444444444444
Bank of America,Commit,700,130,3,Market,2,98,4.5,Bookrunner,Bookrunner,None,0.04591836734693878,0.18571428571428572
Wells Fargo,Commit,200,40,3,Market,2,14,3.0,Bookrunner,Bookrunner,None,0.21428571428571427,0.2
Wells Fargo,Decline,1000,110,2,Market,2,109,8.5,Bookrunner,Participant,Demoted,0.0779816513761468,0.11
Goldman Sachs,Commit,700,100,2,Market,2,70,14.4,Bookrunner,Bookrunner,None,0.2057142857142857,0.14285714285714285
Bank of America,Commit,1100,170,8,Market,0,119,21.3,Bookrunner,Bookrunner,None,0.17899159663865546,0.15454545454545454
Bank of America,Commit,800,90,4,Below,1,106,22.2,Participant,Participant,None,0.20943396226415092,0.1125
MUFG Union,Commit,1000,140,6,Market,1,115,2.3,Bookrunner,Bookrunner,None,0.019999999999999997,0.14
Goldman Sachs,Decline,800,80,3,Above,2,116,6.5,Bookrunner,Participant,Demoted,0.05603448275862069,0.1
Bank of America,Commit,1000,120,6,Market,2,155,4.7,Bookrunner,Bookrunner,None,0.03032258064516129,0.12
Bank of America,Commit,300,40,1,Market,3,60,16.2,Bookrunner,Bookrunner,None,0.26999999999999996,0.13333333333333333
Bank of America,Commit,1100,150,10,Below,0,82,20.9,Bookrunner,Bookrunner,None,0.2548780487804878,0.13636363636363635
Wells Fargo,Commit,300,60,1,Market,2,21,3.9,Bookrunner,Bookrunner,None,0.18571428571428572,0.2
Wells Fargo,Commit,1100,180,5,Below,2,168,17.5,Bookrunner,Bookrunner,None,0.10416666666666667,0.16363636363636364
Deutsche Bank,Commit,1500,270,2,Market,2,135,16.5,Bookrunner,Bookrunner,None,0.12222222222222222,0.18
MUFG Union,Commit,500,70,2,Market,2,69,3.4,Bookrunner,Bookrunner,None,0.049275362318840575,0.14
MUFG Union,Commit,600,80,3,Market,3,90,11.4,Bookrunner,Bookrunner,None,0.12666666666666668,0.13333333333333333
Wells Fargo,Commit,1800,210,7,Market,0,232,17.9,Bookrunner,Participant,Demoted,0.07715517241379309,0.11666666666666667
Goldman Sachs,Decline,900,130,2,Market,1,35,1.6,Bookrunner,Bookrunner,None,0.045714285714285714,0.14444444444444443
Wells Fargo,Decline,600,40,3,Market,2,32,2.1,Bookrunner,Participant,Demoted,0.065625,0.06666666666666667
Wells Fargo,Commit,500,70,1,Market,2,39,2.8,Bookrunner,Bookrunner,None,0.07179487179487179,0.14
MUFG Union,Commit,1400,230,4,Market,0,6,1.6,Bookrunner,Bookrunner,None,0.26666666666666666,0.16428571428571428
Deutsche Bank,Commit,1200,240,4,Market,1,144,35.0,Participant,Bookrunner,Promoted,0.24305555555555555,0.2
Bank of America,Commit,600,110,2,Above,2,72,3.8,Bookrunner,Bookrunner,None,0.05277777777777778,0.18333333333333332
Wells Fargo,Commit,1200,240,10,Market,1,235,52.9,Bookrunner,Bookrunner,None,0.2251063829787234,0.2
Bank of America,Commit,1100,190,3,Market,3,198,28.9,Bookrunner,Bookrunner,None,0.14595959595959596,0.17272727272727273
Wells Fargo,Commit,1300,220,1,Market,1,50,13.4,Bookrunner,Bookrunner,None,0.268,0.16923076923076924
Goldman Sachs,Decline,600,120,4,Above,1,67,0.9,Bookrunner,Bookrunner,None,0.013432835820895522,0.2
MUFG Union,Commit,600,100,3,Market,2,37,11.7,Bookrunner,Bookrunner,None,0.3162162162162162,0.16666666666666666
Wells Fargo,Commit,1600,100,8,Market,0,218,14.2,Participant,Participant,None,0.06513761467889909,0.0625
Bank of America,Commit,800,110,2,Above,2,44,5.0,Bookrunner,Bookrunner,None,0.11363636363636363,0.1375
Wells Fargo,Commit,800,100,4,Market,1,70,9.5,Bookrunner,Bookrunner,None,0.1357142857142857,0.125
Bank of America,Commit,200,30,2,Market,2,14,4.6,Bookrunner,Bookrunner,None,0.32857142857142857,0.15
MUFG Union,Commit,600,90,2,Market,2,63,14.5,Bookrunner,Bookrunner,None,0.23015873015873015,0.15
Wells Fargo,Commit,1000,170,7,Below,0,118,36.0,Bookrunner,Bookrunner,None,0.3050847457627119,0.17
Deutsche Bank,Commit,600,70,3,Market,2,51,11.6,Bookrunner,Bookrunner,None,0.22745098039215686,0.11666666666666667
Wells Fargo,Commit,500,100,2,Market,2,42,15.9,Bookrunner,Bookrunner,None,0.37857142857142856,0.2
Bank of America,Commit,900,170,2,Market,2,129,27.1,Participant,Bookrunner,Promoted,0.21007751937984498,0.18888888888888888
Goldman Sachs,Commit,400,40,1,Below,2,53,9.6,Participant,Participant,None,0.1811320754716981,0.1
Bank of America,Commit,700,110,2,Market,2,72,3.1,Bookrunner,Bookrunner,None,0.043055555555555555,0.15714285714285714
MUFG Union,Commit,1300,200,4,Below,1,171,31.3,Bookrunner,Bookrunner,None,0.18304093567251462,0.15384615384615385
Goldman Sachs,Decline,900,90,1,Below,2,54,10.0,Bookrunner,Participant,Demoted,0.18518518518518517,0.1
MUFG Union,Commit,1400,190,8,Market,0,143,6.1,Bookrunner,Bookrunner,None,0.04265734265734265,0.1357142857142857
